Rule Name,Nombre de Regla,DocType Field
Rules,Reglas,DocType Field
Safety Precaution,Precaución de Seguridad,DocType Field
Salary Slip,Recibo de Salario,DocType Field
Sales Invoice,Factura de Venta,DocType Field
Sample Date,Fecha de Muestra,DocType Field
Sample Number,Número de Muestra,DocType Field
Sample Size,Tamaño de Muestra,DocType Field
Scenario Name,Nombre de Escenario,DocType Field
Scenario Price,Precio de Escenario,DocType Field
Schedule,Cronograma,DocType Field
Schedule Name,Nombre del Cronograma,DocType Field
Scope DocType,DocType de Ámbito,DocType Field
Scope Name,Nombre del Ámbito,DocType Field
Scope Type,Tipo de Ámbito,DocType Field
Serial No,No. de Serie,DocType Field
Session ID,ID de Sesión,DocType Field
Source DocType,DocType de Origen,DocType Field
Source Document,Documento de Origen,DocType Field
Source Reference,Referencia de Origen,DocType Field
Source Type,Tipo de Origen,DocType Field
Specialization,Especialización,DocType Field
Specific Fields,Campos Específicos,DocType Field
Standard,Estándar,DocType Field
Start Datetime,Fecha y Hora de Inicio,DocType Field
Step Number,Número de Paso,DocType Field
Stock Entry,Entrada de Inventario,DocType Field
Subfamily,Subfamilia,DocType Field
Supplier Name,Nombre del Proveedor,DocType Field
Supplier,Proveedor,DocType Field
Target DocType,DocType de Destino,DocType Field
Target Name,Nombre de Destino,DocType Field
Target Type,Tipo de Destino,DocType Field
Terms,Términos,DocType Field
Terms & Conditions,Términos y Condiciones,DocType Field
Timing,Tiempo,DocType Field
Title,Título,DocType Field
Total Change Amount,Monto Total de Cambio,DocType Field
Total Deducted,Total Deducido,DocType Field
Total Estimated Amount,Monto Total Estimado,DocType Field
Total Invoice Amount,Monto Total de Factura,DocType Field
Total Withheld,Total Retenido,DocType Field
Track All Fields,Rastrear Todos los Campos,DocType Field
Tracked DocType,DocType Rastreado,DocType Field
Tracked Name,Nombre Rastreado,DocType Field
Trigger DocType,DocType de Activación,DocType Field
Trigger Event,Evento de Activación,DocType Field
Unit,Unidad,DocType Field
Unit Equivalence,Equivalencia de Unidad,DocType Field
Upload Date,Fecha de Carga,DocType Field
Uploaded By,Cargado Por,DocType Field
Upper Control Limit,Límite de Control Superior,DocType Field
User,Usuario,DocType Field
User Filter,Filtro de Usuario,DocType Field
User Full Name,Nombre Completo del Usuario,DocType Field
Vacation Days Entitled,Días de Vacaciones Correspondientes,DocType Field
Variance Amount,Monto de Variación,DocType Field
Withholding Type,Tipo de Retención,DocType Field
Within Spec,Dentro de Especificación,DocType Field
Work Order,Orden de Trabajo,DocType Field
Years of Service (End),Años de Servicio (Fin),DocType Field
Years of Service (Start),Años de Servicio (Inicio),DocType Field
Activated By,Activado Por,DocType Field
Activated Date,Fecha de Activación,DocType Field
Activation Details,Detalles de Activación,DocType Field
Action Timestamp,Marca de Tiempo de Acción,DocType Field
ISR Retention,Retención ISR,SV Tax
IVA Retention 1%,Retención IVA 1%,SV Tax
Gran Contribuyente,Gran Contribuyente,SV Tax
Mediano Contribuyente,Mediano Contribuyente,SV Tax
Pequeño Contribuyente,Pequeño Contribuyente,SV Tax
ISSS Laboral,ISSS Laboral,SV Payroll
ISSS Patronal,ISSS Patronal,SV Payroll
AFP Laboral,AFP Laboral,SV Payroll
AFP Patronal,AFP Patronal,SV Payroll
Aguinaldo,Aguinaldo,SV Payroll
ISR Renta,ISR Renta,SV Payroll
CCF,CCF,SV Invoice Type
Consumidor Final,Consumidor Final,SV Invoice Type
Nota de Crédito,Nota de Crédito,SV Invoice Type
Nota de Débito,Nota de Débito,SV Invoice Type
Exportación,Exportación,SV Invoice Type
NIT,NIT,SV Document
NRC,NRC,SV Document
DUI,DUI,SV Document
ISSS Number,Número de ISSS,SV Document
AFP Number,Número de AFP,SV Document
AFP Provider,Proveedor de AFP,SV Payroll
AFP Confía,AFP Confía,SV Payroll
AFP Crecer,AFP Crecer,SV Payroll
Taxpayer Type,Tipo de Contribuyente,SV Tax
Invoice Type,Tipo de Factura,SV Tax
Authorization Number,Número de Autorización,SV Tax
IVA Credit Account,Cuenta de IVA Crédito,SV Tax
IVA Debit Account,Cuenta de IVA Débito,SV Tax
Large Taxpayer,Gran Contribuyente,SV Tax
ISR withholding on services from individuals,Retención ISR sobre servicios de personas naturales,SV Tax
IVA advance retention for non-gran-contribuyente purchases,Retención anticipada de IVA para compras de no gran contribuyente,SV Tax
Daytime Overtime,Hora Extra Diurna,SV Payroll
Nighttime Overtime,Hora Extra Nocturna,SV Payroll
"El Salvador vacation: 15 days after 1 year, with 30% bonus","Vacaciones El Salvador: 15 días después de 1 año, con 30% de bonificación",SV Payroll
Aguinaldo calculation based on tenure,Cálculo de Aguinaldo basado en antigüedad,SV Payroll
ISSS salary ceiling,Techo salarial ISSS,SV Payroll
Setup El Salvador taxes for {0},Configurar impuestos de El Salvador para {0},SV Setup
Setup El Salvador payroll for {0},Configurar nómina de El Salvador para {0},SV Setup
Pending,Pendiente,
Cancelled,Cancelado,
Authorized,Autorizado,
Withholding Tax Account,Cuenta de Retención de Impuestos,DocType Field
Total Real Cost,Costo Real Total,Report
Budget Consumed %,% de Presupuesto Consumido,Report
Billing %,% de Facturación,Report
Labor Cost,Costo de Mano de Obra,Report
Downtime,Tiempo de Inactividad,Report
Equipment Usage,Uso de Equipo,Report
Material,Material,Report
Quantity,Cantidad,Report
